iter	Passed	Remaining
0	39	9722
1	88	11012
2	141	11644
3	217	13348
4	265	13032
5	278	11322
6	316	10972
7	365	11050
8	415	11125
9	431	10347
10	514	11185
11	554	10999
12	604	11021
13	621	10478
14	664	10410
15	711	10399
16	728	9984
17	771	9946
18	846	10287
19	895	10303
20	945	10309
21	992	10281
22	1039	10255
23	1087	10240
24	1170	10530
25	1193	10281
26	1233	10187
27	1256	9961
28	1305	9948
29	1350	9904
30	1371	9688
31	1396	9512
32	1470	9671
33	1514	9620
34	1569	9643
35	1612	9587
36	1667	9600
37	1680	9373
38	1727	9347
39	1800	9450
40	1851	9436
41	1864	9231
42	1911	9201
43	1957	9163
44	2008	9149
45	2069	9179
46	2136	9226
47	2182	9182
48	2234	9164
49	2279	9118
50	2330	9092
51	2347	8939
52	2369	8805
53	2446	8881
54	2496	8850
55	2550	8834
56	2562	8677
57	2611	8646
58	2660	8611
59	2739	8674
60	2787	8637
61	2812	8527
62	2858	8484
63	2903	8438
64	2952	8403
65	2995	8351
66	3077	8405
67	3096	8286
68	3110	8159
69	3152	8107
70	3180	8018
71	3224	7971
72	3271	7932
73	3319	7894
74	3401	7936
75	3448	7896
76	3506	7878
77	3552	7833
78	3598	7789
79	3680	7821
80	3731	7784
81	3783	7750
82	3825	7697
83	3877	7662
84	3920	7609
85	4004	7636
86	4050	7588
87	4105	7557
88	4147	7503
89	4194	7456
90	4243	7414
91	4325	7427
92	4370	7378
93	4426	7345
94	4472	7296
95	4520	7251
96	4566	7202
97	4620	7166
98	4665	7116
99	4717	7076
100	4759	7020
101	4841	7024
102	4886	6974
103	4938	6932
104	4979	6877
105	5027	6830
106	5070	6775
107	5158	6782
