iter	F1	Logloss
0	0.100591716	0.6441379619
1	0.220200182	0.5968955944
2	0.1870229008	0.563823551
3	0.252516011	0.534436395
4	0.2580054895	0.5115841303
5	0.2908117752	0.4936560715
6	0.2987477639	0.4780023039
7	0.3379310345	0.4626772065
8	0.3541488452	0.4498887582
9	0.358974359	0.441118421
10	0.35395189	0.4339636569
11	0.3756345178	0.4269638079
12	0.3477508651	0.4253758989
13	0.3758503401	0.4195005244
14	0.3675213675	0.416555469
15	0.3777403035	0.4109976917
16	0.375531011	0.409790501
17	0.389261745	0.4069114144
18	0.3936613845	0.4047617084
19	0.3889816361	0.4038464197
20	0.4003336113	0.4000724247
21	0.3963210702	0.3969819814
22	0.3946488294	0.3966410499
23	0.3946488294	0.3947044621
24	0.3983333333	0.3924601514
25	0.4026622296	0.3897514226
26	0.4115702479	0.3867588613
27	0.4190632703	0.3833167902
28	0.427755102	0.3800141459
29	0.4311183144	0.3785012764
30	0.4350649351	0.3760390183
31	0.4363341444	0.37564333
32	0.4476650564	0.3738678
33	0.4501607717	0.3723066079
34	0.45316253	0.3709444828
35	0.4589641434	0.3685210101
36	0.4585987261	0.3683629666
37	0.4605577689	0.3667619812
38	0.46629659	0.3653833059
39	0.4686258936	0.3637360069
40	0.4755134281	0.3616886852
41	0.4803767661	0.3592998868
42	0.4847537138	0.3584215394
43	0.4847537138	0.3582200226
44	0.4847537138	0.3582198454
45	0.48791894	0.3565192823
46	0.4925954793	0.3544569848
47	0.4914196568	0.3540626694
48	0.492211838	0.3534454503
49	0.4925954793	0.3530965138
50	0.4925954793	0.3530805703
51	0.4945567652	0.3516017559
52	0.5042405551	0.3493729648
53	0.5118773946	0.3484158393
54	0.5118773946	0.3483765864
55	0.5103448276	0.348164271
56	0.5156369184	0.3477342145
57	0.5198170732	0.345275562
58	0.5205479452	0.3450223143
59	0.5205479452	0.344994784
60	0.5182926829	0.344503863
61	0.5175038052	0.342321722
62	0.5175038052	0.3420012919
63	0.5283875852	0.3404822918
64	0.5295007564	0.3404501304
65	0.5328301887	0.3399112055
66	0.5320271289	0.3387429569
