iter	F1	Logloss
0	0.3730017762	0.6366008814
1	0.2251082251	0.5958964381
2	0.1564678544	0.5675064545
3	0.1776765376	0.5418262878
4	0.1748304446	0.5267343212
5	0.1762048193	0.5053248752
6	0.1842696629	0.4900477928
7	0.1985185185	0.4770794538
8	0.2107590273	0.4676588493
9	0.2025316456	0.4605292419
10	0.2394775036	0.4525083919
11	0.2557471264	0.4466778572
12	0.2503597122	0.4421691992
13	0.2307127112	0.4408242615
14	0.2117822521	0.4391164236
15	0.2245199409	0.4352353034
16	0.257925072	0.4320933546
17	0.2545191612	0.430723644
18	0.2820694543	0.4275711821
19	0.2818696884	0.4259518455
20	0.2845010616	0.424739701
21	0.2873239437	0.4233737136
22	0.3014654571	0.4216832415
23	0.3115093039	0.4192579489
24	0.3276450512	0.4167146031
25	0.3322033898	0.415949306
26	0.3440860215	0.4143117481
27	0.3432032301	0.4129641777
28	0.3476510067	0.4120693193
29	0.3501006036	0.4116247705
30	0.3489932886	0.4107550469
31	0.3513694055	0.4103103488
32	0.3580901857	0.4087738002
33	0.3591782638	0.4086609748
34	0.3619550859	0.4080443147
35	0.3679369251	0.4065999297
36	0.3700787402	0.4057995281
37	0.3754889179	0.4047309666
38	0.3802725503	0.4039054849
39	0.3839169909	0.4036850209
40	0.3839169909	0.4024761866
41	0.3826761474	0.4010083417
42	0.3891752577	0.4001581202
43	0.3938223938	0.3996900396
44	0.3971722365	0.399621147
45	0.3951093951	0.3989437863
46	0.4020618557	0.397640043
47	0.4	0.3975221191
48	0.4041184041	0.3969508157
49	0.404378622	0.3963726535
50	0.405908799	0.3954771415
51	0.4069319641	0.3953241579
52	0.4033184429	0.3944802531
53	0.4096385542	0.3937927483
54	0.4103863205	0.3933034354
55	0.4128787879	0.3924395829
56	0.4138801262	0.3916977665
57	0.4156171285	0.391087964
58	0.4168765743	0.3903484448
59	0.4148802018	0.3896261188
60	0.4183994959	0.3888661474
61	0.4183994959	0.3888221935
62	0.4215809285	0.3877672059
63	0.4282147316	0.387036696
64	0.4297314179	0.3866507929
65	0.4296388543	0.3856019234
66	0.4296388543	0.385599101
67	0.4330024814	0.3851288016
68	0.4332712601	0.3848041427
69	0.434079602	0.3842292435
70	0.4336448598	0.3836454141
71	0.4362958359	0.3830428713
72	0.435594275	0.3826975906
73	0.4362958359	0.3818773092
74	0.4392059553	0.3813434593
75	0.4407200497	0.3802130588
76	0.4426534408	0.3795141426
77	0.4443069307	0.3794327091
78	0.4460874923	0.3782437651
79	0.4490797546	0.377668633
80	0.4482758621	0.377150381
81	0.4511370621	0.3760505471
82	0.4546568627	0.374733355
83	0.4532681735	0.3736138588
84	0.4553243574	0.3733507272
85	0.4590964591	0.3727699519
86	0.4589166159	0.3724734157
87	0.4598540146	0.371728495
88	0.4605103281	0.3707543662
89	0.46443769	0.3698000277
90	0.4669496665	0.3686568691
91	0.4715840387	0.3683081277
92	0.4700906344	0.3672849443
93	0.4749244713	0.3659265085
94	0.4825511432	0.3648210887
95	0.4852852853	0.3643656144
96	0.4861612515	0.3638889208
97	0.4855769231	0.3629202669
98	0.4867788462	0.3623712914
99	0.4885954382	0.3619058847
100	0.4907018596	0.3612644347
101	0.4897959184	0.3605707713
102	0.4889155183	0.3601971571
103	0.495215311	0.3594901605
104	0.4955116697	0.3588982314
105	0.4973102212	0.358068171
106	0.4976076555	0.3574843911
107	0.495215311	0.3566881849
108	0.4994011976	0.3558020268
109	0.503871352	0.3549942142
110	0.5014925373	0.3542932019
111	0.5029797378	0.3533761788
112	0.50446163	0.3527904532
113	0.5107142857	0.3518931691
114	0.5122096486	0.3508790627
115	0.5151335312	0.3500784417
116	0.5166270784	0.3494304432
117	0.5169340463	0.348441845
118	0.5201421801	0.3475738945
119	0.5210183541	0.3467966402
120	0.5201900238	0.3458016307
121	0.5272511848	0.3448932464
122	0.5278766311	0.344732583
123	0.528749259	0.3434208214
124	0.5310467179	0.3424209009
125	0.5345132743	0.3418140111
126	0.5356932153	0.3409645084
127	0.5393654524	0.3396334849
128	0.5450264862	0.3386249107
129	0.5441696113	0.3384385393
130	0.5482352941	0.3376730232
131	0.5473808122	0.3367641859
132	0.5484439225	0.3356229845
133	0.5475910693	0.3346703292
134	0.5492957746	0.3339470129
135	0.5526932084	0.333013819
136	0.5600933489	0.3321470196
137	0.5620991254	0.3311932044
138	0.5641025641	0.3304406836
139	0.5644314869	0.3297589153
140	0.5677570093	0.3290419464
141	0.5682613769	0.3285905861
142	0.5690962099	0.3279631314
143	0.572425829	0.3274121279
144	0.574912892	0.3261184506
145	0.5765661253	0.3253635047
146	0.5773913043	0.324951841
147	0.5791907514	0.3242022612
148	0.5803468208	0.3235345345
149	0.5795257374	0.3229252415
150	0.5791907514	0.3223196237
151	0.5818392134	0.3213312751
152	0.5834777585	0.3204579416
153	0.5872193437	0.3199620073
154	0.5880322209	0.3192403653
155	0.5891829689	0.3184837685
156	0.5908045977	0.3180341132
157	0.59437751	0.3171563679
158	0.59437751	0.3165077287
159	0.5962090752	0.315979264
160	0.5966724039	0.3153371601
161	0.5929763961	0.3147407702
162	0.5945945946	0.3141680182
163	0.5990836197	0.3132185267
164	0.5995423341	0.3126576883
165	0.6015981735	0.3124181882
166	0.6007995431	0.311390788
167	0.6035367941	0.3106130177
