iter	Passed	Remaining
0	32	47995
1	62	47100
2	95	47854
3	126	47341
4	138	41553
5	169	42104
6	201	42949
7	261	48719
8	295	48939
9	326	48693
10	356	48295
11	389	48281
12	419	47999
13	428	45467
14	445	44088
15	476	44231
16	507	44280
17	563	46424
18	595	46441
19	627	46452
20	650	45787
21	676	45426
22	711	45704
23	740	45515
24	775	45776
25	814	46174
26	844	46061
27	876	46067
28	921	46742
29	943	46250
30	977	46300
31	1011	46398
32	1061	47188
33	1085	46812
34	1114	46669
35	1147	46654
36	1176	46529
37	1207	46443
38	1238	46378
39	1254	45795
40	1283	45670
41	1349	46840
42	1377	46685
43	1410	46661
44	1422	46007
45	1453	45958
46	1484	45879
47	1500	45403
48	1531	45344
49	1562	45316
50	1623	46125
51	1652	46025
52	1684	45992
53	1714	45914
54	1748	45943
55	1780	45908
56	1813	45904
57	1843	45823
58	1871	45721
59	1902	45670
60	1933	45610
61	1949	45215
62	1981	45196
63	2011	45134
64	2047	45197
65	2078	45166
66	2091	44731
67	2123	44709
68	2158	44772
69	2187	44692
70	2217	44622
71	2246	44555
72	2275	44488
73	2327	44847
74	2361	44871
75	2391	44802
76	2420	44737
77	2439	44474
78	2468	44398
79	2498	44343
80	2527	44286
81	2555	44198
82	2614	44634
83	2642	44541
84	2670	44461
85	2702	44435
86	2730	44353
87	2760	44286
88	2791	44256
89	2820	44182
90	2875	44522
91	2905	44471
92	2935	44404
93	2964	44346
94	2995	44305
95	3023	44223
96	3054	44178
97	3082	44100
98	3124	44222
99	3167	44345
100	3196	44277
101	3226	44217
102	3257	44179
103	3285	44105
104	3314	44031
105	3344	43983
106	3375	43943
107	3406	43903
108	3435	43837
109	3493	44141
110	3529	44169
111	3557	44086
112	3586	44027
113	3616	43970
114	3646	43915
115	3676	43863
116	3708	43833
117	3736	43760
118	3765	43697
119	3796	43657
120	3852	43908
121	3888	43925
122	3919	43879
123	3948	43818
124	3981	43800
125	4011	43739
126	4041	43695
127	4072	43655
128	4101	43594
129	4131	43541
130	4161	43491
131	4215	43684
132	4251	43698
133	4280	43637
134	4310	43583
135	4342	43551
136	4371	43491
137	4399	43423
138	4430	43381
139	4459	43322
140	4489	43271
141	4520	43231
142	4567	43348
143	4607	43389
144	4637	43339
145	4667	43290
146	4699	43252
147	4728	43192
148	4757	43135
149	4787	43091
150	4817	43037
151	4846	42978
152	4878	42952
153	4939	43168
154	4974	43167
155	5003	43106
156	5032	43048
157	5064	43020
158	5093	42960
159	5123	42911
160	5154	42866
161	5183	42811
162	5212	42751
163	5242	42710
164	5298	42872
165	5335	42876
166	5364	42821
167	5393	42763
168	5424	42723
169	5453	42669
170	5484	42627
171	5517	42602
172	5547	42548
173	5576	42498
174	5607	42455
175	5661	42592
176	5696	42582
177	5726	42532
178	5756	42483
179	5788	42451
180	5817	42395
181	5847	42345
182	5878	42306
183	5907	42252
184	5938	42208
185	5968	42164
186	6015	42240
187	6046	42197
188	6079	42168
189	6107	42109
190	6137	42060
191	6167	42013
192	6195	41953
193	6224	41905
194	6255	41863
195	6283	41806
196	6315	41771
197	6373	41908
198	6407	41887
199	6437	41841
200	6467	41796
201	6500	41769
202	6528	41712
203	6557	41660
204	6587	41613
205	6615	41557
206	6644	41504
207	6675	41464
208	6732	41588
209	6764	41553
210	6795	41514
211	6824	41464
212	6859	41449
213	6888	41396
214	6917	41342
215	6949	41311
216	6977	41254
217	7005	41199
218	7037	41162
219	7066	41112
220	7096	41072
221	7125	41021
222	7177	41100
223	7212	41086
224	7242	41041
225	7272	40994
226	7303	40958
227	7333	40911
228	7364	40873
229	7394	40831
230	7423	40780
231	7453	40736
232	7484	40700
233	7541	40802
234	7575	40776
235	7604	40727
236	7633	40682
237	7665	40646
238	7694	40597
239	7724	40555
240	7755	40515
241	7784	40465
242	7815	40427
243	7845	40386
244	7894	40441
245	7927	40409
246	7961	40388
247	7991	40345
248	8022	40305
249	8055	40276
250	8083	40224
251	8112	40178
252	8146	40151
253	8175	40105
254	8207	40073
255	8265	40167
256	8300	40145
257	8329	40096
258	8361	40062
259	8393	40029
260	8423	39985
261	8454	39950
262	8486	39914
263	8515	39867
264	8545	39824
265	8574	39779
266	8633	39869
267	8670	39856
268	8699	39811
269	8730	39772
270	8761	39733
271	8791	39690
272	8822	39654
273	8854	39618
274	8884	39574
275	8914	39532
276	8945	39495
277	9009	39604
278	9038	39556
279	9068	39510
280	9100	39476
281	9129	39430
282	9159	39388
283	9191	39356
284	9221	39312
285	9251	39272
286	9282	39233
287	9340	39306
288	9374	39280
289	9403	39236
290	9434	39197
291	9465	39160
292	9495	39116
293	9527	39081
294	9556	39037
295	9587	38996
296	9618	38958
297	9673	39018
298	9708	38995
299	9736	38947
300	9767	38906
301	9798	38870
302	9827	38824
303	9857	38780
304	9888	38744
305	9918	38700
306	9949	38664
307	9981	38630
308	10031	38664
309	10069	38652
310	10101	38621
311	10133	38586
312	10168	38561
313	10201	38532
314	10235	38504
315	10270	38482
316	10302	38447
317	10335	38415
318	10369	38390
319	10414	38404
320	10455	38402
321	10495	38397
322	10530	38373
323	10565	38349
324	10602	38332
325	10637	38307
326	10671	38279
327	10707	38261
328	10740	38228
329	10775	38203
330	10810	38180
331	10865	38223
